timestamp,day,day_of_week,day_type,time_of_day,request_rate,active_pods,pods_booting,spot_pods,ondemand_pods,preemption_event,cpu_utilization,memory_utilization,queue_length,p95_latency_ms,error_rate,cost_per_hour,month
140,0,0,normal,2.33,433.9,5,0,0,5,0,0.4501,0.4543,0,108.9,0.0005,1.0,0
145,0,0,normal,2.42,440.6,5,0,0,5,0,0.4645,0.4648,0,109.4,0.0005,1.0,0
150,0,0,normal,2.5,458.6,5,0,0,5,0,0.5021,0.4172,0,110.6,0.0005,1.0,0
155,0,0,normal,2.58,460.2,5,0,0,5,0,0.4805,0.434,0,110.7,0.0005,1.0,0
160,0,0,normal,2.67,449.2,5,0,0,5,0,0.4965,0.4786,0,109.9,0.0005,1.0,0
165,0,0,normal,2.75,450.4,5,0,0,5,0,0.4937,0.4496,0,110.0,0.0005,1.0,0
170,0,0,normal,2.83,458.4,5,0,0,5,0,0.4603,0.4733,0,110.6,0.0005,1.0,0
175,0,0,normal,2.92,428.2,5,0,0,5,0,0.4954,0.4714,0,108.5,0.0005,1.0,0
180,0,0,normal,3.0,418.4,5,0,0,5,0,0.4832,0.4117,0,107.9,0.0005,1.0,0
185,0,0,normal,3.08,433.5,5,0,0,5,0,0.5031,0.4675,0,108.9,0.0005,1.0,0
190,0,0,normal,3.17,407.3,5,0,0,5,0,0.4288,0.3774,0,107.2,0.0005,1.0,0
195,0,0,normal,3.25,368.3,5,0,0,5,0,0.4258,0.3844,0,104.6,0.0005,1.0,0
200,0,0,normal,3.33,351.0,5,0,0,5,0,0.4089,0.3229,0,103.4,0.0005,1.0,0
205,0,0,normal,3.42,362.2,5,0,0,5,0,0.4152,0.3816,0,104.1,0.0005,1.0,0
210,0,0,normal,3.5,394.9,5,0,0,5,0,0.4143,0.4221,0,106.3,0.0005,1.0,0
215,0,0,normal,3.58,422.0,5,0,0,5,0,0.483,0.4608,0,108.1,0.0005,1.0,0
220,0,0,normal,3.67,431.6,5,0,0,5,0,0.4784,0.451,0,108.8,0.0005,1.0,0
225,0,0,normal,3.75,523.2,5,0,0,5,0,0.6008,0.5044,0,114.9,0.0005,1.0,0
230,0,0,normal,3.83,485.4,5,0,0,5,0,0.4883,0.4817,0,112.4,0.0005,1.0,0
235,0,0,normal,3.92,466.7,5,0,0,5,0,0.4889,0.4761,0,111.1,0.0005,1.0,0
240,0,0,normal,4.0,444.9,5,0,0,5,0,0.4836,0.4716,0,109.7,0.0005,1.0,0
245,0,0,normal,4.08,465.4,5,0,0,5,0,0.5137,0.4225,0,111.0,0.0005,1.0,0
250,0,0,normal,4.17,456.7,5,0,0,5,0,0.5052,0.4796,0,110.4,0.0005,1.0,0
255,0,0,normal,4.25,431.9,5,0,0,5,0,0.4691,0.4149,0,108.8,0.0005,1.0,0
260,0,0,normal,4.33,410.6,5,0,0,5,0,0.4159,0.3673,0,107.4,0.0005,1.0,0
265,0,0,normal,4.42,430.3,5,0,0,5,0,0.4903,0.449,0,108.7,0.0005,1.0,0
270,0,0,normal,4.5,395.7,5,0,0,5,0,0.4123,0.4001,0,106.4,0.0005,1.0,0
275,0,0,normal,4.58,388.0,5,0,0,5,0,0.4307,0.369,0,105.9,0.0005,1.0,0
280,0,0,normal,4.67,442.9,5,0,0,5,0,0.4612,0.4287,0,109.5,0.0005,1.0,0
285,0,0,normal,4.75,462.3,5,0,0,5,0,0.4634,0.4228,0,110.8,0.0005,1.0,0
290,0,0,normal,4.83,464.0,5,0,0,5,0,0.4716,0.4632,0,110.9,0.0005,1.0,0
295,0,0,normal,4.92,473.8,5,0,0,5,0,0.4875,0.4668,0,111.6,0.0005,1.0,0
300,0,0,normal,5.0,503.6,5,0,0,5,0,0.5074,0.4895,0,113.6,0.0005,1.0,0
305,0,0,normal,5.08,452.3,5,0,0,5,0,0.4903,0.4882,0,110.2,0.0005,1.0,0
310,0,0,normal,5.17,420.0,5,0,0,5,0,0.465,0.3758,0,108.0,0.0005,1.0,0
315,0,0,normal,5.25,428.7,5,0,0,5,0,0.4958,0.4359,0,108.6,0.0005,1.0,0
320,0,0,normal,5.33,464.2,5,0,0,5,0,0.5064,0.5097,0,110.9,0.0005,1.0,0
325,0,0,normal,5.42,423.8,5,0,0,5,0,0.4917,0.462,0,108.3,0.0005,1.0,0
330,0,0,normal,5.5,427.6,5,0,0,5,0,0.4504,0.4604,0,108.5,0.0005,1.0,0
335,0,0,normal,5.58,408.4,5,0,0,5,0,0.4638,0.3886,0,107.2,0.0005,1.0,0
340,0,0,normal,5.67,416.8,5,0,0,5,0,0.4777,0.4386,0,107.8,0.0005,1.0,0
345,0,0,normal,5.75,397.9,5,0,0,5,0,0.4166,0.3694,0,106.5,0.0005,1.0,0
350,0,0,normal,5.83,418.3,5,0,0,5,0,0.4471,0.4064,0,107.9,0.0005,1.0,0
355,0,0,normal,5.92,432.8,5,0,0,5,0,0.4574,0.4742,0,108.9,0.0005,1.0,0
360,0,0,normal,6.0,425.1,5,0,0,5,0,0.4785,0.3876,0,108.3,0.0005,1.0,0
365,0,0,normal,6.08,452.4,5,0,0,5,0,0.4905,0.4852,0,110.2,0.0005,1.0,0
370,0,0,normal,6.17,466.4,5,0,0,5,0,0.4672,0.5084,0,111.1,0.0005,1.0,0
375,0,0,normal,6.25,455.0,5,0,0,5,0,0.4793,0.5005,0,110.3,0.0005,1.0,0
380,0,0,normal,6.33,457.5,5,0,0,5,0,0.4917,0.4365,0,110.5,0.0005,1.0,0
385,0,0,normal,6.42,474.6,5,0,0,5,0,0.5278,0.5012,0,111.6,0.0005,1.0,0
390,0,0,normal,6.5,492.8,5,0,0,5,0,0.5334,0.4443,0,112.9,0.0005,1.0,0
395,0,0,normal,6.58,512.0,5,0,0,5,0,0.5496,0.5561,0,114.1,0.0005,1.0,0
400,0,0,normal,6.67,496.3,5,0,0,5,0,0.5593,0.5093,0,113.1,0.0005,1.0,0
405,0,0,normal,6.75,500.7,5,0,0,5,0,0.5077,0.5231,0,113.4,0.0005,1.0,0
410,0,0,normal,6.83,506.7,5,0,0,5,0,0.59,0.4925,0,113.8,0.0005,1.0,0
415,0,0,normal,6.92,536.1,5,0,0,5,0,0.6087,0.5894,0,115.7,0.0005,1.0,0
420,0,0,normal,7.0,545.0,5,0,0,5,0,0.5957,0.5358,0,116.3,0.0005,1.0,0
425,0,0,normal,7.08,573.6,5,0,0,5,0,0.5842,0.5727,0,118.2,0.0005,1.0,0
430,0,0,normal,7.17,612.0,5,0,0,5,0,0.6242,0.56,0,120.8,0.0005,1.0,0
435,0,0,normal,7.25,647.8,5,0,0,5,0,0.7283,0.6598,0,123.2,0.0005,1.0,0
440,0,0,normal,7.33,693.0,5,0,0,5,0,0.7933,0.6504,0,126.2,0.0005,1.0,0
445,0,0,normal,7.42,754.7,5,0,0,5,0,0.7562,0.8335,0,133.9,0.00546,1.0,0
450,0,0,normal,7.5,813.3,5,1,0,5,0,0.8884,0.8982,0,171.0,0.03326,1.0,0
455,0,0,normal,7.58,868.2,5,1,0,5,0,0.9593,0.906,0,236.5,0.08237,1.0,0
460,0,0,normal,7.67,978.2,6,0,0,6,0,0.9376,0.7328,0,172.7,0.03453,1.2,0
465,0,0,normal,7.75,1007.5,6,0,0,6,0,0.9726,0.9124,0,198.7,0.05399,1.2,0
470,0,0,normal,7.83,1114.2,6,0,0,6,0,0.9576,0.921,3,342.6,0.16198,1.2,0
475,0,0,normal,7.92,1136.2,6,0,0,6,0,1.0,0.858,5,382.0,0.19152,1.2,0
480,0,0,normal,8.0,1188.2,6,1,0,6,0,1.0,1.0,10,488.4,0.27131,1.2,0
485,0,0,normal,8.08,1273.4,6,1,0,6,0,1.0,1.0,19,702.9,0.43217,1.2,0
490,0,0,normal,8.17,1266.6,7,0,1,6,0,0.9115,0.8095,0,296.5,0.12739,1.28,0
495,0,0,normal,8.25,1338.1,7,0,1,6,0,1.0,0.8816,7,402.6,0.20695,1.28,0
500,0,0,normal,8.33,1306.7,7,0,1,6,0,1.0,0.9269,4,352.8,0.16963,1.28,0
505,0,0,normal,8.42,1351.1,7,0,1,6,0,0.9742,1.0,9,424.6,0.22348,1.28,0
510,0,0,normal,8.5,1347.7,7,1,1,6,0,1.0,0.9086,8,418.8,0.21912,1.28,0
515,0,0,normal,8.58,1336.9,7,1,1,6,0,1.0,0.9775,7,400.6,0.20543,1.28,0
520,0,0,normal,8.67,1334.0,8,0,1,7,0,0.8495,0.8656,0,191.9,0.04893,1.48,0
525,0,0,normal,8.75,1274.4,8,0,1,7,0,0.8655,0.8588,0,156.9,0.02267,1.48,0
530,0,0,normal,8.83,1291.4,8,0,1,7,0,0.8252,0.7226,0,165.5,0.02913,1.48,0
535,0,0,normal,8.92,1286.2,8,0,1,7,0,0.8982,0.7526,0,162.7,0.02704,1.48,0
540,0,0,normal,9.0,1252.2,8,1,1,7,0,0.9006,0.7562,0,147.4,0.01553,1.48,0
545,0,0,normal,9.08,1141.2,8,1,1,7,0,0.7604,0.7326,0,127.6,0.0005,1.48,0
550,0,0,normal,9.17,1037.3,9,0,2,7,0,0.6236,0.5544,0,118.4,0.0005,1.56,0
555,0,0,normal,9.25,980.1,9,0,2,7,0,0.5514,0.4996,0,116.3,0.0005,1.56,0
560,0,0,normal,9.33,933.0,9,0,2,7,0,0.5958,0.5153,0,114.6,0.0005,1.56,0
565,0,0,normal,9.42,852.5,9,0,2,7,0,0.4888,0.4253,0,111.6,0.0005,1.56,0
570,0,0,normal,9.5,787.6,9,0,2,7,0,0.4464,0.4338,0,109.2,0.0005,1.56,0
575,0,0,normal,9.58,720.6,9,0,2,7,0,0.4339,0.4173,0,106.7,0.0005,1.56,0
580,0,0,normal,9.67,661.7,9,0,2,7,0,0.3714,0.3494,0,104.5,0.0005,1.56,0
585,0,0,normal,9.75,631.6,8,0,1,7,0,0.4069,0.3692,0,106.3,0.0005,1.48,0
590,0,0,normal,9.83,591.8,8,0,1,7,0,0.3984,0.3902,0,104.7,0.0005,1.48,0
595,0,0,normal,9.92,506.3,8,0,1,7,0,0.3541,0.3443,0,101.1,0.0005,1.48,0
600,0,0,normal,10.0,568.2,8,0,1,7,0,0.3866,0.3348,0,103.7,0.0005,1.48,0
605,0,0,normal,10.08,572.5,8,0,1,7,0,0.359,0.3436,0,103.9,0.0005,1.48,0
610,0,0,normal,10.17,533.4,8,0,1,7,0,0.3663,0.3466,0,102.2,0.0005,1.48,0
615,0,0,normal,10.25,491.4,7,0,1,6,0,0.3561,0.3539,0,103.4,0.0005,1.28,0
620,0,0,normal,10.33,523.4,7,0,1,6,0,0.3915,0.3625,0,104.9,0.0005,1.28,0
625,0,0,normal,10.42,529.3,7,0,1,6,0,0.4005,0.4189,0,105.2,0.0005,1.28,0
630,0,0,normal,10.5,489.5,7,0,1,6,0,0.364,0.3233,0,103.3,0.0005,1.28,0
635,0,0,normal,10.58,509.0,7,0,1,6,0,0.3741,0.3956,0,104.2,0.0005,1.28,0
640,0,0,normal,10.67,517.4,7,0,1,6,0,0.3764,0.3611,0,104.6,0.0005,1.28,0
645,0,0,normal,10.75,507.7,7,0,1,6,0,0.412,0.3431,0,104.2,0.0005,1.28,0
650,0,0,normal,10.83,538.3,7,0,1,6,0,0.4212,0.3657,0,105.6,0.0005,1.28,0
655,0,0,normal,10.92,533.5,7,0,1,6,0,0.4016,0.3748,0,105.4,0.0005,1.28,0
660,0,0,normal,11.0,519.6,7,0,1,6,0,0.389,0.3778,0,104.7,0.0005,1.28,0
665,0,0,normal,11.08,556.4,7,0,1,6,0,0.4327,0.3578,0,106.5,0.0005,1.28,0
670,0,0,normal,11.17,572.0,7,0,1,6,0,0.4305,0.4367,0,107.2,0.0005,1.28,0
675,0,0,normal,11.25,604.3,7,0,1,6,0,0.4863,0.4408,0,108.8,0.0005,1.28,0
680,0,0,normal,11.33,586.8,7,0,1,6,0,0.4772,0.4625,0,107.9,0.0005,1.28,0
685,0,0,normal,11.42,621.0,7,0,1,6,0,0.5129,0.4121,0,109.6,0.0005,1.28,0
690,0,0,normal,11.5,679.1,7,0,1,6,0,0.4963,0.5169,0,112.3,0.0005,1.28,0
695,0,0,normal,11.58,728.9,7,0,1,6,0,0.5349,0.5571,0,114.7,0.0005,1.28,0
700,0,0,normal,11.67,788.5,7,0,1,6,0,0.6,0.6028,0,117.5,0.0005,1.28,0
705,0,0,normal,11.75,889.1,7,0,1,6,0,0.6841,0.6071,0,122.3,0.0005,1.28,0
710,0,0,normal,11.83,927.8,7,0,1,6,0,0.7051,0.6691,0,124.2,0.0005,1.28,0
715,0,0,normal,11.92,1005.6,7,0,1,6,0,0.7323,0.7885,0,127.9,0.0005,1.28,0
720,0,0,normal,12.0,995.4,7,0,1,6,0,0.7845,0.7163,0,127.4,0.0005,1.28,0
725,0,0,normal,12.08,1053.6,7,0,1,6,0,0.7716,0.7211,0,133.2,0.00493,1.28,0
730,0,0,normal,12.17,1095.4,7,1,1,6,0,0.8819,0.8479,0,147.2,0.01543,1.28,0
735,0,0,normal,12.25,1087.6,7,1,1,6,0,0.7912,0.8367,0,144.0,0.01298,1.28,0
740,0,0,normal,12.33,1093.4,8,0,1,7,0,0.7095,0.7171,0,125.6,0.0005,1.48,0
745,0,0,normal,12.42,1077.0,8,0,1,7,0,0.751,0.6795,0,124.9,0.0005,1.48,0
750,0,0,normal,12.5,1063.6,8,0,1,7,0,0.7294,0.6501,0,124.3,0.0005,1.48,0
755,0,0,normal,12.58,1035.0,8,0,1,7,0,0.6634,0.6593,0,123.1,0.0005,1.48,0
760,0,0,normal,12.67,1096.5,8,0,1,7,0,0.7918,0.6953,0,125.7,0.0005,1.48,0
765,0,0,normal,12.75,1083.9,8,0,1,7,0,0.7573,0.6251,0,125.2,0.0005,1.48,0
770,0,0,normal,12.83,1109.5,8,0,1,7,0,0.8014,0.759,0,126.2,0.0005,1.48,0
775,0,0,normal,12.92,1110.0,8,0,1,7,0,0.8076,0.746,0,126.3,0.0005,1.48,0
780,0,0,normal,13.0,1070.3,8,0,1,7,0,0.675,0.6444,0,124.6,0.0005,1.48,0
785,0,0,normal,13.08,1054.5,7,0,1,6,1,0.7951,0.7362,0,133.5,0.00509,1.28,0
790,0,0,normal,13.17,1026.7,7,0,1,6,0,0.8235,0.7256,0,128.9,0.00166,1.28,0
795,0,0,normal,13.25,977.0,7,0,1,6,0,0.7142,0.6476,0,126.5,0.0005,1.28,0
800,0,0,normal,13.33,858.5,7,0,1,6,0,0.6725,0.6312,0,120.9,0.0005,1.28,0
805,0,0,normal,13.42,817.5,7,0,1,6,0,0.6013,0.6438,0,118.9,0.0005,1.28,0
810,0,0,normal,13.5,771.5,7,0,1,6,0,0.5972,0.5628,0,116.7,0.0005,1.28,0
815,0,0,normal,13.58,706.4,7,0,1,6,0,0.5222,0.5492,0,113.6,0.0005,1.28,0
820,0,0,normal,13.67,659.9,7,0,1,6,0,0.5158,0.4259,0,111.4,0.0005,1.28,0
825,0,0,normal,13.75,617.3,7,0,1,6,0,0.4794,0.4351,0,109.4,0.0005,1.28,0
830,0,0,normal,13.83,622.7,7,0,1,6,0,0.5086,0.4888,0,109.7,0.0005,1.28,0
835,0,0,normal,13.92,541.7,7,0,1,6,0,0.4284,0.3791,0,105.8,0.0005,1.28,0
840,0,0,normal,14.0,546.0,7,0,1,6,0,0.405,0.4049,0,106.0,0.0005,1.28,0
845,0,0,normal,14.08,556.5,7,0,1,6,0,0.4505,0.3691,0,106.5,0.0005,1.28,0
850,0,0,normal,14.17,501.9,6,0,0,6,0,0.4352,0.4389,0,107.9,0.0005,1.2,0
855,0,0,normal,14.25,503.0,6,0,0,6,0,0.4772,0.4096,0,107.9,0.0005,1.2,0
860,0,0,normal,14.33,458.7,6,0,0,6,0,0.4393,0.3409,0,105.5,0.0005,1.2,0
865,0,0,normal,14.42,463.1,6,0,0,6,0,0.3993,0.3453,0,105.7,0.0005,1.2,0
870,0,0,normal,14.5,459.5,6,0,0,6,0,0.4399,0.4099,0,105.5,0.0005,1.2,0
875,0,0,normal,14.58,417.1,6,0,0,6,0,0.3626,0.3383,0,103.2,0.0005,1.2,0
880,0,0,normal,14.67,373.5,5,0,0,5,0,0.399,0.3778,0,104.9,0.0005,1.0,0
885,0,0,normal,14.75,390.7,5,0,0,5,0,0.4099,0.4297,0,106.0,0.0005,1.0,0
890,0,0,normal,14.83,376.9,5,0,0,5,0,0.4075,0.4099,0,105.1,0.0005,1.0,0
895,0,0,normal,14.92,389.0,5,0,0,5,0,0.4165,0.3477,0,105.9,0.0005,1.0,0
900,0,0,normal,15.0,397.3,5,0,0,5,0,0.4144,0.3655,0,106.5,0.0005,1.0,0
905,0,0,normal,15.08,354.2,5,0,0,5,0,0.4124,0.3563,0,103.6,0.0005,1.0,0
910,0,0,normal,15.17,347.2,5,0,0,5,0,0.4001,0.3177,0,103.1,0.0005,1.0,0
915,0,0,normal,15.25,335.6,5,0,0,5,0,0.351,0.3397,0,102.4,0.0005,1.0,0
920,0,0,normal,15.33,371.3,5,0,0,5,0,0.372,0.3414,0,104.8,0.0005,1.0,0
925,0,0,normal,15.42,388.1,5,0,0,5,0,0.4447,0.3965,0,105.9,0.0005,1.0,0
930,0,0,normal,15.5,432.7,5,0,0,5,0,0.4986,0.4248,0,108.8,0.0005,1.0,0
935,0,0,normal,15.58,454.7,5,0,0,5,0,0.494,0.4089,0,110.3,0.0005,1.0,0
940,0,0,normal,15.67,461.5,5,0,0,5,0,0.5079,0.4354,0,110.8,0.0005,1.0,0
945,0,0,normal,15.75,436.8,5,0,0,5,0,0.4579,0.4228,0,109.1,0.0005,1.0,0
950,0,0,normal,15.83,410.3,5,0,0,5,0,0.4429,0.4252,0,107.4,0.0005,1.0,0
955,0,0,normal,15.92,439.3,5,0,0,5,0,0.493,0.4115,0,109.3,0.0005,1.0,0
960,0,0,normal,16.0,424.2,5,0,0,5,0,0.4664,0.4086,0,108.3,0.0005,1.0,0
965,0,0,normal,16.08,429.9,5,0,0,5,0,0.4375,0.3893,0,108.7,0.0005,1.0,0
970,0,0,normal,16.17,432.1,5,0,0,5,0,0.4634,0.4078,0,108.8,0.0005,1.0,0
975,0,0,normal,16.25,480.7,5,0,0,5,0,0.5447,0.5015,0,112.0,0.0005,1.0,0
980,0,0,normal,16.33,494.9,5,0,0,5,0,0.5025,0.5408,0,113.0,0.0005,1.0,0
985,0,0,normal,16.42,454.3,5,0,0,5,0,0.5262,0.4488,0,110.3,0.0005,1.0,0
990,0,0,normal,16.5,465.7,5,0,0,5,0,0.5225,0.4974,0,111.0,0.0005,1.0,0
995,0,0,normal,16.58,440.2,5,0,0,5,0,0.491,0.4744,0,109.3,0.0005,1.0,0
1000,0,0,normal,16.67,453.1,5,0,0,5,0,0.5277,0.4979,0,110.2,0.0005,1.0,0
1005,0,0,normal,16.75,427.7,5,0,0,5,0,0.478,0.4681,0,108.5,0.0005,1.0,0
1010,0,0,normal,16.83,458.1,5,0,0,5,0,0.4607,0.4782,0,110.5,0.0005,1.0,0
1015,0,0,normal,16.92,449.4,5,0,0,5,0,0.5186,0.4964,0,110.0,0.0005,1.0,0
1020,0,0,normal,17.0,477.4,5,0,0,5,0,0.5446,0.4582,0,111.8,0.0005,1.0,0
1025,0,0,normal,17.08,524.4,5,0,0,5,0,0.5276,0.5356,0,115.0,0.0005,1.0,0
1030,0,0,normal,17.17,541.8,5,0,0,5,0,0.6047,0.5225,0,116.1,0.0005,1.0,0
1035,0,0,normal,17.25,565.7,5,0,0,5,0,0.5718,0.5425,0,117.7,0.0005,1.0,0
1040,0,0,normal,17.33,636.2,5,0,0,5,0,0.7026,0.6908,0,122.4,0.0005,1.0,0
1045,0,0,normal,17.42,671.8,5,0,0,5,0,0.6978,0.6008,0,124.8,0.0005,1.0,0
1050,0,0,normal,17.5,706.3,5,0,0,5,0,0.8003,0.7844,0,127.1,0.0005,1.0,0
1055,0,0,normal,17.58,767.8,5,1,0,5,0,0.8659,0.751,0,139.3,0.00945,1.0,0
1060,0,0,normal,17.67,858.7,5,1,0,5,0,0.9996,0.9099,0,223.1,0.0723,1.0,0
1065,0,0,normal,17.75,877.7,6,0,0,6,0,0.7828,0.77,0,128.6,0.00148,1.2,0
1070,0,0,normal,17.83,900.8,6,0,0,6,0,0.7866,0.7167,0,132.6,0.00447,1.2,0
1075,0,0,normal,17.92,932.3,6,0,0,6,0,0.7824,0.6937,0,144.0,0.013,1.2,0
1080,0,0,normal,18.0,973.9,6,0,0,6,0,0.9035,0.7607,0,169.4,0.03204,1.2,0
1085,0,0,normal,18.08,1024.4,6,1,0,6,0,0.9656,0.7758,0,216.3,0.0672,1.2,0
1090,0,0,normal,18.17,1094.5,6,1,0,6,0,0.9832,0.9351,1,310.3,0.13771,1.2,0
1095,0,0,normal,18.25,1132.3,7,0,1,6,0,0.8401,0.8884,0,167.0,0.03022,1.28,0
1100,0,0,normal,18.33,1206.8,7,0,1,6,0,0.8874,0.8085,0,227.6,0.0757,1.28,0
1105,0,0,normal,18.42,1288.9,7,0,1,6,0,0.9743,0.8302,2,326.7,0.15006,1.28,0
1110,0,0,normal,18.5,1315.6,7,0,1,6,0,0.9638,1.0,5,366.3,0.17974,1.28,0
1115,0,0,normal,18.58,1324.4,7,1,1,6,0,1.0,0.9656,6,380.3,0.19022,1.28,0
1120,0,0,normal,18.67,1345.8,7,1,1,6,0,0.982,1.0,8,415.5,0.21659,1.28,0
1125,0,0,normal,18.75,1393.7,8,0,1,7,0,0.9886,0.9011,0,240.7,0.08549,1.48,0
1130,0,0,normal,18.83,1412.7,8,0,1,7,0,0.9212,0.9268,0,259.1,0.09934,1.48,0
1135,0,0,normal,18.92,1455.6,8,0,1,7,0,0.9431,0.9468,1,305.8,0.13432,1.48,0
1140,0,0,normal,19.0,1404.1,8,0,1,7,0,0.9284,0.9123,0,250.6,0.09295,1.48,0
1145,0,0,normal,19.08,1426.3,8,1,1,7,0,1.0,0.9504,0,273.2,0.10989,1.48,0
1150,0,0,normal,19.17,1490.0,8,1,1,7,0,1.0,0.9721,4,348.3,0.16625,1.48,0
1155,0,0,normal,19.25,1529.9,9,0,2,7,0,0.9565,0.7854,0,211.4,0.06352,1.56,0
1160,0,0,normal,19.33,1541.5,9,0,2,7,0,0.9731,0.9196,0,219.9,0.0699,1.56,0
1165,0,0,normal,19.42,1536.3,8,0,2,6,1,1.0,0.9852,9,412.9,0.21471,1.36,0
1170,0,0,normal,19.5,1549.0,8,0,1,7,0,1.0,1.0,10,432.0,0.22897,1.48,0
1175,0,0,normal,19.58,1556.0,8,1,1,7,0,1.0,1.0,11,442.8,0.2371,1.48,0
1180,0,0,normal,19.67,1583.7,8,1,1,7,0,1.0,1.0,14,487.6,0.27067,1.48,0
1185,0,0,normal,19.75,1534.2,9,0,2,7,0,0.9529,0.7704,0,214.5,0.06584,1.56,0
1190,0,0,normal,19.83,1475.3,9,0,2,7,0,0.9387,0.9058,0,177.0,0.03774,1.56,0
1195,0,0,normal,19.92,1486.5,9,0,2,7,0,0.8437,0.8732,0,183.3,0.04249,1.56,0
1200,0,0,normal,20.0,1460.2,9,0,2,7,0,0.8715,0.7704,0,169.1,0.0318,1.56,0
1205,0,0,normal,20.08,1381.3,9,1,2,7,0,0.8251,0.71,0,139.1,0.00932,1.56,0
1210,0,0,normal,20.17,1372.4,9,1,2,7,0,0.8489,0.7886,0,136.9,0.00767,1.56,0
1215,0,0,normal,20.25,1364.2,10,0,3,7,0,0.6993,0.6718,0,125.5,0.0005,1.64,0
1220,0,0,normal,20.33,1320.6,10,0,3,7,0,0.6905,0.7313,0,124.0,0.0005,1.64,0
1225,0,0,normal,20.42,1293.2,10,0,3,7,0,0.6714,0.6054,0,123.1,0.0005,1.64,0
1230,0,0,normal,20.5,1247.2,10,0,3,7,0,0.6728,0.6885,0,121.6,0.0005,1.64,0
1235,0,0,normal,20.58,1191.9,10,0,3,7,0,0.6731,0.6318,0,119.7,0.0005,1.64,0
1240,0,0,normal,20.67,1154.1,10,0,3,7,0,0.5802,0.631,0,118.5,0.0005,1.64,0
1245,0,0,normal,20.75,1117.8,10,0,3,7,0,0.6038,0.5114,0,117.3,0.0005,1.64,0
1250,0,0,normal,20.83,1073.9,10,0,3,7,0,0.581,0.485,0,115.8,0.0005,1.64,0
1255,0,0,normal,20.92,1001.5,10,0,3,7,0,0.5673,0.4796,0,113.4,0.0005,1.64,0
1260,0,0,normal,21.0,945.6,10,0,3,7,0,0.5106,0.4833,0,111.5,0.0005,1.64,0
1265,0,0,normal,21.08,898.7,10,0,3,7,0,0.5137,0.4773,0,110.0,0.0005,1.64,0
